EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0525,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,OPEN PAD WINDOW LITHO,DEPOSIT TUNGSTEN SEED
valid_0526,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,OPEN PAD WINDOW LITHO,PARAMETRIC TEST
valid_0527,DEPOSIT BARRIER METAL,MEASURE VIA CD,IMPLANT N BUFFER,VIA ETCH,OPEN PAD WINDOW LITHO
valid_0528,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,STRIP RESIST,OPEN BOND PAD WINDOW,PACKAGE PREPARATION
valid_0529,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER ETCH,CLEAN AFTER FIELD ETCH,VIA ETCH THROUGH DIELECTRIC
valid_0530,CURE PASSIVATION,PACKAGE PREPARATION,DEPOSIT PASSIVATION,MEASURE SURFACE UNIFORMITY,METAL PATTERN INSPECTION
valid_0531,DEPOSIT BARRIER METAL,MEASURE VIA CD,OPEN PAD WINDOW LITHO,MEASURE CD LEVEL 2,VIA ETCH THROUGH DIELECTRIC
valid_0532,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,CLEAN PAD OPENING,METAL PATTERN INSPECTION,PATTERN INSPECTION LEVEL 2
valid_0533,DEPOSIT TUNGSTEN SEED,DEPOSIT METAL SEED,SPIN COAT PHOTORESIST,DEPOSIT BARRIER METAL,OXIDE STRIP
valid_0534,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,CLEAN PAD OPENING,BACKSIDE ETCH CLEAN,BACKSIDE ANNEAL
valid_0535,DEPOSIT BARRIER METAL,MEASURE VIA CD,IMPLANT N BUFFER,HARD BAKE,FINAL CD INSPECTION
valid_0536,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DEPOSIT BACKSIDE PROTECTION,DEPOSIT POLYSILICON,FRONTSIDE CLEAN FINAL
valid_0537,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT TUNGSTEN SEED,CLEAN AFTER VIA ETCH,OPEN PAD WINDOW LITHO
valid_0538,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,PAD WINDOW LITHO,CMP METAL
valid_0539,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,OPEN PAD WINDOW LITHO,EXPOSE LITHO LEVEL 3
valid_0540,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,MEASURE PASSIVATION QUALITY,MEASURE THICKNESS,MEASURE OXIDE QUALITY
valid_0541,STRIP PHOTORESIST,STRIP RESIST,DEPOSIT POLYSILICON,VIA ETCH THROUGH DIELECTRIC,MEASURE METAL THICKNESS
valid_0542,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,OXIDE STRIP,MEASURE PASSIVATION QUALITY,MEASURE OXIDE QUALITY
valid_0543,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO
valid_0544,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,MEASURE PASSIVATION QUALITY,MEASURE OXIDE QUALITY,PAD WINDOW LITHO
valid_0545,DEPOSIT BARRIER METAL,MEASURE VIA CD,OPEN PAD WINDOW LITHO,FINAL CD INSPECTION,HARD BAKE
valid_0546,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,PAD WINDOW LITHO,HARD BAKE
valid_0547,CLEAN AFTER VIA ETCH,VIA ETCH THROUGH DIELECTRIC,DEPOSIT TUNGSTEN SEED,CLEAN AFTER FIELD ETCH,CLEAN PAD OPENING
valid_0548,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,PAD WINDOW LITHO,FIELD OXIDE ETCH
valid_0549,DEPOSIT TUNGSTEN SEED,DEPOSIT METAL SEED,MEASURE SURFACE DEFECTS,DEPOSIT BARRIER METAL,MEASURE BACKSIDE CONTACT
valid_0550,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,METAL ETCH,CLEAN PAD OPENING
valid_0551,CLEAN AFTER VIA ETCH,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER FIELD ETCH,CLEAN AFTER ETCH,CLEAN PAD OPENING
valid_0552,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,OPEN PAD WINDOW,PASSIVATION ETCH,DEPOSIT BARRIER METAL
valid_0553,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT TUNGSTEN SEED,CLEAN AFTER VIA ETCH,OPEN PAD WINDOW LITHO
valid_0554,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,OPEN BOND PAD WINDOW,FINAL LOT RELEASE,MEASURE SURFACE PLANARITY
valid_0555,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,VIA ETCH,METAL ETCH DRY,CLEAN AFTER VIA ETCH
valid_0556,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,MEASURE PASSIVATION QUALITY,OPEN PAD WINDOW LITHO,MEASURE EPITAXY THICKNESS
valid_0557,MEASURE VIA CD,DEPOSIT BARRIER METAL,OPEN PAD WINDOW LITHO,CLEAN AFTER VIA ETCH,SWITCHING TEST
valid_0558,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,HARD BAKE,PAD WINDOW LITHO
valid_0559,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,OPEN PAD WINDOW LITHO,FINAL OXIDE CHECK
valid_0560,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,OPEN PAD WINDOW,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE
valid_0561,STRIP RESIST,STRIP PHOTORESIST,DIELECTRIC ETCH VIA,FINAL PARTICLE INSPECTION,DEPOSIT POLYSILICON
valid_0562,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,MEASURE PASSIVATION THICKNESS,PRE ANNEAL CHECK,DEPOSIT PASSIVATION LAYER
valid_0563,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER POLY ETCH,WET CLEAN RCA1
valid_0564,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,OXIDE STRIP,MEASURE PASSIVATION QUALITY,OPEN PAD WINDOW LITHO
valid_0565,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,DENSIFY DIELECTRIC,VIA ETCH
valid_0566,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,OXIDE STRIP,MEASURE PASSIVATION QUALITY,OPEN PAD WINDOW LITHO
valid_0567,MEASURE VIA CD,DEPOSIT BARRIER METAL,OPEN PAD WINDOW LITHO,INSPECT PATTERN LEVEL 1,CLEAN AFTER VIA ETCH
valid_0568,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,STRIP RESIST,SOFT BAKE,OPEN BOND PAD WINDOW
valid_0569,STRIP RESIST,STRIP PHOTORESIST,DIELECTRIC ETCH VIA,DENSIFY DIELECTRIC,PRE ANNEAL CHECK
valid_0570,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,CLEAN AFTER METAL ETCH,PAD WINDOW LITHO
valid_0571,STRIP PHOTORESIST,STRIP RESIST,DEPOSIT POLYSILICON,VIA ETCH THROUGH DIELECTRIC,MEASURE METAL THICKNESS
valid_0572,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,OXIDE STRIP,MEASURE OXIDE QUALITY,MEASURE PASSIVATION QUALITY
valid_0573,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER FIELD ETCH,CLEAN PAD OPENING
valid_0574,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,MEASURE PASSIVATION THICKNESS,PACKAGE PREPARATION,DEPOSIT BACKSIDE METAL
valid_0575,MEASURE VIA CD,DEPOSIT BARRIER METAL,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,DEPOSIT TUNGSTEN SEED
valid_0576,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PAD WINDOW LITHO,FIELD OXIDE ETCH
valid_0577,CLEAN AFTER VIA ETCH,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER FIELD ETCH,CLEAN AFTER METAL ETCH,DIELECTRIC ETCH VIA
valid_0578,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,PAD WINDOW LITHO,CMP METAL
valid_0579,STRIP PHOTORESIST,STRIP RESIST,DEPOSIT POLYSILICON,FINAL PARTICLE INSPECTION,DIELECTRIC ETCH VIA
valid_0580,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,OPEN PAD WINDOW,DEVELOP PHOTORESIST,DEPOSIT TUNGSTEN SEED
valid_0581,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,VIA ETCH THROUGH DIELECTRIC,CLEAN PAD OPENING
valid_0582,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,OPEN BOND PAD WINDOW,STRIP RESIST LEVEL 2,STRIP RESIST
valid_0583,VIA ETCH THROUGH DIELECTRIC,VIA ETCH,DIELECTRIC ETCH VIA,METAL ETCH DRY,POLYSILICON ETCH DRY
valid_0584,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,MEASURE OXIDE THICKNESS,MEASURE PASSIVATION THICKNESS,LEAKAGE TEST
valid_0585,STRIP PHOTORESIST,STRIP RESIST,DEPOSIT POLYSILICON,VIA ETCH THROUGH DIELECTRIC,MEASURE METAL THICKNESS
valid_0586,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,OPEN PAD WINDOW,DEPOSIT BARRIER METAL,MEASURE VIA CD
valid_0587,STRIP RESIST,STRIP PHOTORESIST,FINAL PARTICLE INSPECTION,DIELECTRIC ETCH VIA,CLEAN AFTER VIA ETCH
valid_0588,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,OXIDE STRIP
valid_0589,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PACKAGE PREPARATION,VIA INSPECTION,CLEAN AFTER VIA ETCH
valid_0590,CURE PASSIVATION,DEPOSIT POLYSILICON,PACKAGE PREPARATION,DEPOSIT PASSIVATION LAYER,STRIP RESIST
valid_0591,STRIP RESIST,STRIP PHOTORESIST,DIELECTRIC ETCH VIA,DENSIFY DIELECTRIC,PRE ANNEAL CHECK
valid_0592,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,IMPLANT N-TYPE,METAL PATTERN INSPECTION,MEASURE PASSIVATION THICKNESS
valid_0593,STRIP RESIST,STRIP PHOTORESIST,VIA ETCH,OPEN PAD WINDOW LITHO,SPIN COAT PHOTORESIST
valid_0594,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,OPEN BOND PAD WINDOW,PACKAGE PREPARATION,MEASURE PAD OPENING
valid_0595,CLEAN AFTER VIA ETCH,CLEAN PAD OPENING,STRIP PHOTORESIST,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER ETCH
valid_0596,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PARAMETRIC TEST,OPEN PAD WINDOW LITHO
valid_0597,CLEAN AFTER VIA ETCH,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER POLY ETCH,WET CLEAN RCA1,CLEAN AFTER METAL ETCH
valid_0598,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,MEASURE PASSIVATION THICKNESS,PRE ANNEAL CHECK,DEPOSIT PASSIVATION LAYER
valid_0599,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER FIELD ETCH,CLEAN AFTER POLY ETCH
valid_0600,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,OPEN BOND PAD WINDOW,FINAL LOT RELEASE,MEASURE SURFACE PLANARITY
